term_italian,is_base,base_term_italian,translation_english,topics,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
caffè,True,caffè,coffee,"beverages,cafe",masculine,singular,none,,,,base lemma,Vedo un caffè aperto.,I see an open café.
un caffè,False,caffè,a coffee,"beverages,cafe",masculine,singular,indefinite,un,un,,,Prendo un caffè al banco.,I'll have a coffee at the counter.
il caffè,False,caffè,the coffee,"beverages,cafe",masculine,singular,definite,il,il,,,Il caffè è caldo.,The coffee is hot.
caffè,False,caffè,coffees,"beverages,cafe",masculine,plural,none,,,,invariable plural,Caffè italiani sono famosi.,Italian coffees are famous.
i caffè,False,caffè,the coffees,"beverages,cafe",masculine,plural,definite,i,i,,invariable plural,I caffè del centro sono pieni.,The cafés downtown are full.
dei caffè,False,caffè,some coffees,"beverages,cafe",masculine,plural,articulated_preposition,i,dei,di,invariable plural,Abbiamo preso dei caffè.,We had some coffees.
del caffè,False,caffè,of the coffee,"beverages,cafe",masculine,singular,articulated_preposition,il,del,di,,Bevo del caffè al mattino.,I drink some coffee in the morning.
al caffè,False,caffè,to the coffee,"beverages,cafe",masculine,singular,articulated_preposition,il,al,a,,Aggiungo zucchero al caffè.,I add sugar to the coffee.
ai caffè,False,caffè,to the coffees,"beverages,cafe",masculine,plural,articulated_preposition,i,ai,a,invariable plural,Porto biscotti ai caffè.,I bring cookies to the coffees/cafés.
dal caffè,False,caffè,from the coffee,"beverages,cafe",masculine,singular,articulated_preposition,il,dal,da,,Sento profumo dal caffè.,I smell aroma from the coffee.
dai caffè,False,caffè,from the coffees,"beverages,cafe",masculine,plural,articulated_preposition,i,dai,da,invariable plural,Musica arriva dai caffè.,Music comes from the cafés.
nel caffè,False,caffè,in the coffee,"beverages,cafe",masculine,singular,articulated_preposition,il,nel,in,,Metto latte nel caffè.,I put milk in the coffee.
nei caffè,False,caffè,in the coffees,"beverages,cafe",masculine,plural,articulated_preposition,i,nei,in,invariable plural,Si fuma meno nei caffè.,People smoke less in cafés.
sul caffè,False,caffè,on the coffee,"beverages,cafe",masculine,singular,articulated_preposition,il,sul,su,,Ho letto un articolo sul caffè.,I read an article about coffee.
sui caffè,False,caffè,on the coffees,"beverages,cafe",masculine,plural,articulated_preposition,i,sui,su,invariable plural,Parliamo spesso sui caffè.,We often talk about cafés.
col caffè,False,caffè,with the coffee,"beverages,cafe",masculine,singular,articulated_preposition,il,col,con,contraction of con + il,Lo bevo col caffè.,I drink it with the coffee.
coi caffè,False,caffè,with the coffees,"beverages,cafe",masculine,plural,articulated_preposition,i,coi,con,contraction of con + i,Arrivano i conti coi caffè.,The bills arrive with the coffees.
